query,res_queries,answer
富铁软糖的使用方法、推荐用量及适用人群是什么,富铁软糖的使用方法、推荐用量及适用人群是什么,"富铁软糖的使用方法为每天推荐3粒，开袋即食，不限时间，可当零食食用，口感酸甜Q弹，荔枝口味。推荐用量根据年龄和生理状态不同：4-10岁每天2-3粒，12-50岁每天3-4粒，≥50岁每天3-4粒，孕期哺乳期每天5-6粒。适用人群为3岁以上儿童、成人、备孕及哺乳期人群，用于补充微量铁元素，达到补铁补气血的作用。每瓶60颗，可食用约20天。注意事项包括癌症、肿瘤患者建议咨询医生。膳食营养补充食品不是药物，不能代替药物治疗疾病。
温度超过38℃会导致糖内致体融化，如出现适度的黏粘、轻微返砂、变形不影响食用。
儿童需在成人监控下食用。
本品添加果汁，颜色略微差异属于正常现象，请放心食用。"
升级肽EGCG饮的建议用量、饮用时间和注意事项是什么,升级肽EGCG饮的建议用量、饮用时间和注意事项是什么,EGCG升级肽的建议用量为每天1瓶，饮用时间可选择每晚睡前或白天饭后，可直接饮用或兑60度以下少量温水饮用。注意事项包括：鱼类过敏、肾功能代谢异常者不能饮用；备孕期、怀孕期、哺乳期不建议饮用；癌症、肿瘤患者建议咨询医生；避免与酒类、浓茶、药物、咖啡同服，建议间隔2-4小时以上。
口服胶原蛋白肽多久能看到效果,口服胶原蛋白肽多久能看到效果,2-3个月为基础补充期，4-6个月为快速提升期，6个月后效果逐步放大，之后进入维稳期。坚持1-2年可进一步巩固效果
皮肤代谢周期是多少天，分为几个阶段，每个阶段的效果是什么，如何计算,"皮肤代谢周期是多少天
皮肤代谢周期分为几个阶段
皮肤代谢周期每个阶段的效果是什么
皮肤代谢周期如何计算",皮肤代谢周期因年龄而异，18岁及以下为28天，18岁以后为实际年龄加10天，例如35岁为45天。口服保养的过程大概可以分为3个：1-2个周期，皮肤通道打开，状态改善；3-4周期，针对皮肤问题，稳定肌肤状态；6个周期之后，多维度的抗衰，巩固前序效果。坚持4-6个周期都是有肉眼可见的变化呢。
升级款胶原蛋白肽的使用方法和注意事项是什么,"升级款胶原蛋白肽的使用方法是什么
升级款胶原蛋白肽的注意事项是什么",升级款胶原蛋白肽的使用方法是每天1支，建议睡前喝，如不吃晚饭可以在白天饭后饮用，可以直接拧开喝，或兑60℃以下温水。注意事项包括经期可以放心喝，但备孕期、孕期、哺乳期不建议使用；鱼类、海鲜、蛋白质过敏人群不建议使用；肾脏代谢异常不能喝；癌症、肿瘤体质建议咨询医生；忌口酒类、浓茶类、药物类、咖啡类，建议间隔2小时以上；开启后请尽快饮用，或冷藏并于24小时内饮用完毕；不要空腹喝，不要加热饮用。
胶原蛋白肽维C饮的使用方法和注意事项是什么,胶原蛋白肽维C饮的使用方法和注意事项是什么,"胶原蛋白肽维C饮的使用方法为每天1-2支，睡前饮用，可直接饮用或兑80-100ml温水（建议不超过60度）。25岁以下建议每天1支，25岁以上、熬夜或焦虑时可选择每日2支，30岁以上建议每天2支（白天饭后1支，晚上睡前1支），经期、熬夜、压力大、孕期、哺乳期建议每天2支，如不吃晚饭可在白天饭后饮用，建议白天餐后半小时和睡前各饮用1支。注意事项包括：对鱼、虾、蟹等水产品过敏者及肾脏代谢异常者不能喝；癌症、肿瘤体质建议咨询医生；产品为食品级饮品，不含激素和类雌激素，可放心饮用；糖尿病患者需根据热量遵医嘱饮用；避免与酒类、浓茶、咖啡、药物同服，建议间隔2小时以上；不要空腹饮用。
开启后需冷藏(0-6℃)并在24小时内饮用完毕。"
升级肽EGCG饮的使用方法、注意事项、适用人群及主要功效是什么,"升级肽EGCG饮的使用方法是什么
升级肽EGCG饮的注意事项是什么
升级肽EGCG饮的适用人群是什么
升级肽EGCG饮的主要功效是什么",升级肽EGCG饮的使用方法是每天一瓶，每晚睡前或白天饭后饮用。注意事项包括备孕、孕期、哺乳期不建议饮用；鱼类过敏、肾功能代谢异常者不能饮用；癌症、肿瘤患者建议咨询医生；忌口酒类、浓茶、药物、咖啡类，建议间隔2-4小时以上；不需要冷藏，常温保存于阴凉处即可，若追求口感可冷藏；口感偏甜是正常的，使用的是代糖，每瓶约50卡路里。适用人群为25岁以上需要高阶保养和熟龄肌修复的人群。主要功效是补胶原、补水、锁水、抗氧化，能提亮肤色，改善皮肤暗沉发黄，增强皮肤代谢。每瓶50毫升含有8000毫克胶原蛋白肽、100毫克弹性蛋白、玻尿酸和EGCG可寡糖。拥有7大自研专利证书，与首都医科大学公共卫生学院合作进行208人3个多月的临床测试，有SGS8周真人实测报告，被人民日报报道。
美白淡斑精华液的使用方法是什么,美白淡斑精华液的使用方法是什么,美白淡斑精华液的使用方法是早晚洁面后取适量均匀涂抹于脸部并轻轻按摩至吸收，初次使用需建立耐受，避开眼周并逐天加量，敏感肌需在耳后做过敏测试，如出现皮肤不适应停止使用，孕妇及哺乳期人群需遵医嘱使用，建议晚上使用并放在爽肤水和乳液之间，初期可将产品放冰箱保存，每次使用1支，前3-5天建立耐受无不适后再全脸使用。
虾青素凝胶糖果的使用方法是什么,虾青素凝胶糖果的使用方法是什么,虾青素凝胶糖果的使用方法是每天一粒，随餐或餐后15分钟用温水吞服。孕期和哺乳期不建议服用。需密封、避光、置阴凉干燥处保存。
升级肽的建议用量、饮用方式及注意事项是什么,"升级肽的建议用量是什么
升级肽的饮用方式是什么
升级肽的注意事项是什么",升级肽的建议用量为每天1瓶，饮用方式为每晚睡前或白天饭后饮用，可直接喝或兑60度以下少量温水饮用。注意事项包括：鱼虾类过敏、肾功能代谢异常者禁用；备孕、孕期、哺乳期不建议饮用；癌症、肿瘤患者需咨询医生；产品不含激素和类雌激素成分，经期可以放心喝；喝酒需间隔24小时，西药间隔2-4小时，中药遵医嘱，中成药间隔2-4小时；饮用前需将容器倒置两次使液体均匀混合，建议在阴凉干燥处保存，避免阳光直射。
